Root,RelativePath,Size,Version,Description,SHA256,Category,Purpose,Recommendation,Evidence
A,gc.dll,81920,,,1bd55170477b4838e03c553ceccba2d1bfe4a7de0d385c3a7b3d6c7081180624,配套库,配套库；具体职责以所属工具为准，未动态加载确认,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,gcmt-dll.dll,69632,,,938cb5c8d1daf7c9598a2bfefadd28723c7f46d5c6607cc1d9554de23f6ef9e1,配套库,配套库；具体职责以所属工具为准，未动态加载确认,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,godotdec.exe,10240,2.1.0.0,godotdec,9306284afd671e555c088fb904d96e69f8df29cf38cebc82937b32f39e983adb,游戏与多媒体资源,Godot PCK 及内嵌 PCK 的 EXE。,不做游戏内部资源展开。,A/def/godot.ini
A,helpdeco.exe,237056,,,9c5c58a524d557b9d7c1eabb2a5cbd7716e6586ec93df90089f1d1213b11c8ac,文档、邮件与数据转换,分别反编译 WinHelp HLP、展开 Microsoft Reader LIT 电子书。,不做。,本地作者说明；A/def/lit.ini
A,i6comp.exe,114688,,,1181ae0dada52ea5a5990d11f966e5986bf0a01614d2d5e5ad63b7c79e29fa29,安装包与封装,InstallShield 5.x / 6.x 专有 CAB 的提取、维护工具。,参考数据结构；不专门重做这两个历史版本的完整工具。,i6comp 本地说明；i5comp 静态字符串
A,ICSharpCode.SharpZipLib.dll,198656,1.2.0.246,ICSharpCode.SharpZipLib,2c32b22249ca820844cb40305e6353e8ca2f52737e5f5ee13f6bb8b36ade7263,配套库,ICSharpCode.SharpZipLib,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,innoextract.exe,2338304,,,0dab51583e403970065db49f87a6a2bf683ab6ebfdf27bede2bf633dd232a1a2,安装包与封装,Inno Setup 安装包：文件表、路径、压缩块、版本差异。,已有模块；持续补近期结构、分卷和路径变体。,A 说明文档；上游工具表
A,innounp.exe,1790976,2.71.1,InnoUnp - Inno Setup Unpacker,94377351f03257b06e221285b16d41108040151ab672b96faf1d3d874a7d0a32,安装包与封装,Inno Setup 安装包：文件表、路径、压缩块、版本差异。,已有模块；持续补近期结构、分卷和路径变体。,A 说明文档；上游工具表
A,InstExpl.dll,41984,,,611bc56e85331eda5583e945e5e2c39d656914b9cb49b0000c216b00337a46c8,配套库,配套库；具体职责以所属工具为准，未动态加载确认,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,InstExpl.wcx,49152,"0, 9, 1, 0",InstallExplorer for Total Commander,6057a2b23bcf5ca7e0bdd9f183e7cf174ffdb346ce23f972f152d6e92700fd94,WCX 插件,InstallExplorer：Wise、VISE、Inno、Gentee、InstallShield、旧 NSIS、SetupFactory、Eschalon、MSI 的多格式插件,按格式选择解析能力；不复制插件宿主,本地插件作者说明、版本资源及配置
A,iso.wcx,19456,"1, 7, 7, 0",iso.wcx,2802d6d1aa1f50aa278268929c08c148a4757ead7786fe73f5402fe8bc36ea43,WCX 插件,ISO 光盘镜像插件,按格式选择解析能力；不复制插件宿主,本地插件作者说明、版本资源及配置
A,IsXunpack.exe,58368,,,b9b389906763dff3c34ca0e28226b5f7b9cfa46273b0bb1d37e8640c72b90792,安装包与封装,部分 InstallShield 单 EXE 外壳：取出 CAB/HDR、setup 文件，未必已经取出应用。,参考外壳到载荷的分层设计；新版本必须另做样本验证。,本地 isxunpack_readme.txt
A,jsMSIx.exe,184320,1.11.0704,MSI Unpacker - unpacks MSI/MSM files,edc6293d46c7a1d907a4b62b1d0ec097a83f829e33172516edaa2cb84c2c1427,安装包与封装,Windows Installer MSI/MSM 内容提取；其中 MsiX 是旧工具名称，不是现代 MSIX 格式。,已有 MSI；优先补多 CAB、外置 CAB、松散源文件。,本地版本资源；lessmsi 上游
A,lconvert.exe,3244544,5.13.2.0,Qt Translation File Converter,8f7b81ce126136c77b4a93b803f558e0b65bdd4e952af9aabb2149626b0bdde9,文档、邮件与数据转换,分别转换 Qt QM 翻译文件、GNU Gettext MO 翻译目录。,不做。,A/def/qm.ini、mo.ini；版本资源
A,libbz2-1.dll,100964,,,b79cd3a7102e359ef6324e98966a67939e58ec2b651ae2847cae84a4dfa453f7,配套库,配套库；具体职责以所属工具为准，未动态加载确认,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,lzip.exe,1591510,,,8e97fab3223d7749e7b82b70dc575348f32e96519135b437a5f6a0ebc382d515,通用归档,分别为 LZIP 和 LZO/lzop 压缩流。,安装器确有这种压缩方法时再接基础库；不单列首批格式。,本地说明；上游工具表
A,lzop.exe,94734,,,0beab98e9e5877a0a13047d71c11902c07283f983ac7a1c3c98696d24a315442,通用归档,分别为 LZIP 和 LZO/lzop 压缩流。,安装器确有这种压缩方法时再接基础库；不单列首批格式。,本地说明；上游工具表
A,MediaInfo.dll,5179840,20.03.0.0,Most relevant technical and tag data for video and audio files,4dc4b7fcab02e7c53f69e5ec59eeff60be22bc1a7ccc7f0ef9828c9e3090fc91,配套库,Most relevant technical and tag data for video and audio files,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,msgunfmt.exe,1958505,0.19.8.1,GPLed program for Windows NT/2000/XP/Vista/7 and Windows 95/98/ME,ad30ff9d4e5261ac279334f119820c5f57b811fce7727879830183e0cf78faa2,文档、邮件与数据转换,分别转换 Qt QM 翻译文件、GNU Gettext MO 翻译目录。,不做。,A/def/qm.ini、mo.ini；版本资源
A,msi.wcx,97792,,,bcc34cb4bcdd8902d762a2e60a0c3793ae92814c6a742f82eb329fcea4518b67,WCX 插件,MSI/MSP 数据库内嵌 OLE 流浏览/提取；不能等同按安装目录完整还原应用,按格式选择解析能力；不复制插件宿主,本地插件作者说明、版本资源及配置
A,MsiX.exe,139264,"1, 0, 0, 0",MSI Extractor,3598ad3754ce45e914688ab9ab2960f11f57e3f35d3ef6b6e60a3d0a1c64d097,安装包与封装,Windows Installer MSI/MSM 内容提取；其中 MsiX 是旧工具名称，不是现代 MSIX 格式。,已有 MSI；优先补多 CAB、外置 CAB、松散源文件。,本地版本资源；lessmsi 上游
A,mtee.exe,19456,,,221748edd4763571e395189772f166625f8e2b9429d1ee334228ef92f3f0c326,识别、宿主及可执行程序封装,复制命令行输出到日志等目的地。,已有日志功能，无需独立程序。,上游工具表与作者项目
A,NBHextract.exe,35328,,,2e1adf481ac0e5b0c4abe9980a4740913a41eb88f8a5c37b2c15f0690096fc3d,镜像与固件,HTC NBH ROM 固件。,不做。,上游工具表与作者项目说明
A,neko.dll,100352,,,0ef87d06612b3d3f80bbc40ec858f3160fa33e39294d92cb3ba33f4b43d1694e,配套库,配套库；具体职责以所属工具为准，未动态加载确认,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,observer.ini,829,,,83c334815e274d0e3c89532417139d5feb11823061dffd4926719ca8cfbdc422,规则或配置数据,对应检测器、游戏/归档解释器、插件的配套数据,不算作新增格式,本地路径及配置
A,pdfdetach.exe,1011712,,,fca7c09e0a9a2d37fd26bd9bf73bc5a0d13c4d3255d40da2c07a4b80929c3272,文档、邮件与数据转换,分别提取 PDF 附件、图片、文本，转换 HTML、渲染 PNG。,不做；保持提取出的 PDF 原样。,本地说明与上游 Xpdf 工具表
A,pdftohtml.exe,1805824,,,e13ff12ef25ee5388cd9fec627b00080d3bac278d3dd14da8fba0a5f6e378d78,文档、邮件与数据转换,分别提取 PDF 附件、图片、文本，转换 HTML、渲染 PNG。,不做；保持提取出的 PDF 原样。,本地说明与上游 Xpdf 工具表
A,pdftopng.exe,1757184,,,e0f3c31853c74b9396ed7e5aa66e5a839afb88fc6b49427d62e3c57344ad8396,文档、邮件与数据转换,分别提取 PDF 附件、图片、文本，转换 HTML、渲染 PNG。,不做；保持提取出的 PDF 原样。,本地说明与上游 Xpdf 工具表
A,pdftotext.exe,1074176,,,1537fac2fefa3ac26164401d566d8fc55ea7cda1f9bf502ae4303090f70740b1,文档、邮件与数据转换,分别提取 PDF 附件、图片、文本，转换 HTML、渲染 PNG。,不做；保持提取出的 PDF 原样。,本地说明与上游 Xpdf 工具表
A,PDunSIS.wcx,65536,"1, 0, 0, 0",PDunSIS,13518d6aac144bdb70fa0a98811d18eb1f09ca40b8892b5ad654d875afef7d49,WCX 插件,Symbian/EPOC SIS 安装包插件；不是 NSIS,按格式选择解析能力；不复制插件宿主,本地插件作者说明、版本资源及配置
A,pea.exe,2955776,0.72.0,"Pea: pack, encrypt, authenticate",3f1f389be8cff6727ac2ab61266bbe42a3c918fe24916699d861f9d507c7ad6c,通用归档,PEA 压缩、加密和认证容器；不是完整 PeaZip 界面的全部后端。,低优先级。,本地版本资源及 pea 说明
A,PEiD.exe,219136,,,e13171d50f45a79bc09b9e4b9ffa38eb02301aca94a1867a9bf8acccc3759030,识别、宿主及可执行程序封装,PE 文件、编译器和壳的识别；不是应用文件提取器。,参考识别特征；识别结果只能作为解析候选。,本地说明、版本资源
A,quickbms.exe,5739520,check the version at runtime,QuickBMS,e1c8460ab150f7616a3718158cb406328095e5429153d4b7f629147e581359d2,游戏与多媒体资源,脚本驱动的二进制格式解释器；本地 BMS.db 提供解包脚本集合，也有少数安装器脚本。,仅参考确实命中安装器的脚本；不重做整个解释器。,本地 quickbms 说明；UniExtract 的 BmsExtract 调用
A,RAIU.EXE,40960,,,befa024422b3fb6b5265bbd600806100e9734a3e593d8b1c9ebe8f1b031e5628,安装包与封装,Reflexive Arcade 游戏安装器的外层包装，通常还要接 Inno 提取。,不做历史专用分支；参考多层识别思路即可。,UniExtract 作者说明与源码
A,regexp.ndll,198144,,,d18e3e8b9285490566fa36c5dc0580aad68a0e84f82c87fc8ebe14c93cbe6bb2,配套库,配套库；具体职责以所属工具为准，未动态加载确认,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,RgssDecrypter.exe,44032,1.0.0.1,RgssDecrypter,8c7c49049c1b979dc68395bbfe416bb8975690d278fc5f47f9601030ffce2adf,游戏与多媒体资源,分别处理 RPG Maker RGSS 归档和 RPG Maker MV 资源。,不做。,本地版本资源；A/def/rpgmvp.ini
A,RgssDecrypter.Lib.dll,10240,1.0.0.0,RgssDecrypter.Lib,fbbb4e32cb4afd8f0bc110fa658eee8c3d15d04d1b1c9dfc03f2bed4d25a2303,配套库,RgssDecrypter.Lib,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,rmvdec.exe,61430,,,5d899e00a66abde2cc0a3c5cfa43006fb224e3ec62d81b3901476705815e5fb0,游戏与多媒体资源,分别处理 RPG Maker RGSS 归档和 RPG Maker MV 资源。,不做。,本地版本资源；A/def/rpgmvp.ini
A,sfarkxtc.exe,32768,,,6faee7c69b0d5d4cf0c2c381b277a89f175380433142550dc87ecf57c955f543,游戏与多媒体资源,sfArk 压缩音色库。,不做。,上游工具表与作者项目
A,spoondec.exe,61360,,,b7819e993b5ec36e16daa6446307b9ee8fbb05b611fa9185495eafbe5dc3ba3b,安装包与封装,Spoon Installer 安装包载荷。,低优先级；不要与所有应用虚拟化封装混为一谈。,A/def/spoon.ini；作者 spoondec 仓库
A,sqlite3.exe,966656,3.31.1,"SQLite is a software library that implements a self-contained, serverless, zero-configuration, transactional SQL database engine.",cb47b6066f756f991a1844dcc912881488a11c3ff55d250618fed7e1dfdcff47,文档、邮件与数据转换,SQLite 数据库访问/导出；也可供工具管理自身数据。,不做数据库转换功能。,本地版本资源；UniExtract 源码
A,std.ndll,118784,,,21320d2e48749a6d2d19a1e711c55751557f7a2dac8c9ffa7750c83c1e74d3bf,配套库,配套库；具体职责以所属工具为准，未动态加载确认,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,swfextract.exe,723005,,,abd760cc1dc492c933bb7cf3b5adb9072b75bd21b229a67e449d36f97acc3f5c,游戏与多媒体资源,SWF 图片、音频等资源。,不做。,本地说明与上游工具表
A,TotalObserver.wcx,138240,1.2.0.0,Total Commander Plugin that allows users to browse various file containers and extract content from them.,eab0e136c5deb7df2fc98e359d310c81109e7919dca4289101423362c76cbcc6,WCX 插件,Observer 模块的 Total Commander 宿主；实际格式由 modules 和配置决定,按格式选择解析能力；不复制插件宿主,本地插件作者说明、版本资源及配置
A,trid.exe,108544,,,d8c91ee0720759d44aac1dc16f9b400da5fd259748aefbca5a549329396d2483,识别、宿主及可执行程序封装,TrID 基于特征库判断文件类型；file/libmagic 使用 magic 规则。,做少量确定性探测，未知包保存诊断；不追求识别所有文件。,本地说明；A/def/registry.ini
A,triddefs.trd,4926220,,,038f529e870d607dd3f65342945d4502fd804c61832db4189c5dd14fedd8142a,规则或配置数据,对应检测器、游戏/归档解释器、插件的配套数据,不算作新增格式,本地路径及配置
A,TrIDLib.dll,40960,1.02,TrIDLib - Free,99bbfec6a939446cb6561ab4237ab043b72088e663b5c46806453c94e2a03ed7,配套库,TrIDLib - Free,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,ttarchext.exe,977920,,,057088b4dbaa92258a81641807840ae447625997065e29400ed70e2897eeba3d,游戏与多媒体资源,Telltale TTARCH 游戏资源。,不做。,上游工具表与作者工具说明
A,UHARC02.EXE,99444,,,570b7b5feffa88a194bc002c2941ee24e3f971e11289d4fad736ce0e6dbac14a,通用归档,UHARC 的不同历史版本。,不做。,本地 UHARC 说明；上游工具表
A,UHARC04.EXE,100864,,,a45c6f7da7d9660ec4a60f2eaa15162ae3513fcb45fbbeb75b6a31df6bff697b,通用归档,UHARC 的不同历史版本。,不做。,本地 UHARC 说明；上游工具表
A,uif2iso.exe,92160,,,b190b6b892c64f003a08525bcc5b58d58cb0145ab55c14ed62af4a35bc8ffcbe,镜像与固件,分别把 DAA、UIF 镜像转换成 ISO。,不做专用转换器。,本地作者说明
A,unadf.exe,98304,,,4b88b30a4ca258924dde6512e9f4fe03ca92168b2f0a00cb5b4feaf016077d2b,镜像与固件,Amiga ADF 磁盘镜像。,不做。,A/def/adf.ini
A,unalz.exe,159744,,,4a35788e517e509202d11f0e7b4299f303de808727c20557a5625c8526f35f68,通用归档,ALZip 的 ALZ 归档。,低优先级。,A/def/alz.ini
A,unar.exe,5785366,,,c4900a02c15904590bb611750382a7da37e2f6843c025862c142e2300414ab8d,通用归档,前者是 The Unarchiver 命令行、多格式读取；本地路由用于 StuffIt。后者是旧 StuffIt Expander。,不因同样能解压就重做；StuffIt 不纳入 Windows 安装包主线。,A/def/sit.ini；本地版本资源；上游工具表
A,unarc.exe,214016,,,3b7a0ef0ca48ff2c3d9511303003bb778df7842c5e782e9d9443d400b67eb791,通用归档,FreeArc 归档；与下面 DOS ARC 同扩展名但格式不同。,低优先级，面向特定重打包样本再评估。,上游工具表；本地 freearc 说明
A,unecm.exe,7680,,,45f597a50d868f2fce11877f52983b2097cf6b9ac569c35122cc3fdc28d03705,镜像与固件,ECM 光盘数据恢复。,不纳入主线。,A/def/ecm.ini
A,unisz.exe,114688,,,bac9099d4018760fe0e688cf6a59c9af35e2b00458608f57d040c1854fc8e098,镜像与固件,UltraISO ISZ 压缩镜像展开。,不纳入主线。,本地 unisz 说明
A,unlzx.exe,45191,,,d924011d6937a4320e6bfd3c7b46e878d690b39cba9f06a204a4ca5776ce3d2b,通用归档,传统 LZX 归档，不能据此认为它是标准 CAB 的 LZX 接口。,不做独立格式专项。,本地 unlzx 说明
A,Unpack.dll,478720,,,d9ae14389c8d9ce3ad018377106d78d4d7b5876f3935202b9e0e8af7164f6495,配套库,配套库；具体职责以所属工具为准，未动态加载确认,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,unrpa.exe,6009050,,,c92ec291e999b97ce4113f7cd83ae34428e6d6cdcd6000d67277b3be29a499b9,游戏与多媒体资源,Ren'Py RPA 归档。,不做。,本地 unrpa 作者说明
A,unshield.exe,117760,,,fc47a75619f4d9b31e32b5af049e1c94e986bab43b0afdb5b3d5ce31be6a66cd,安装包与封装,InstallShield 专有 CAB/HDR 文件表、组件、文件组和跨卷载荷。,值得自研，列入第二批；以近期样本确定结构。,unshield 上游；InstallShield 2025 官方文档
A,UNUHARC06.EXE,75264,,,a9cf9da45402aedfa8e8c9d87d09941dfacb49ac454f618a918975fd390ee9c9,通用归档,UHARC 的不同历史版本。,不做。,本地 UHARC 说明；上游工具表
A,unzip.exe,204800,6.0,Info-ZIP's UnZip for Win32 console,2122557d350fd1c59fb0ef32125330bde673e9331eb9371b454c2ad2d82091ac,通用归档,ZIP 及部分 ZIP 自解压包。,已有 ZIP/ZIP64；无需再做另一个 ZIP 工具。,本地版本资源、unzip 说明
A,unzoo.exe,46669,,,bfe350b25f4cfc69d23b71a084218092ba544c05bfc6facb97f1bee93109656c,通用归档,Zoo 归档。,不做。,上游工具表与本地格式表
A,upx.exe,411648,3.96 (2020-01-23),UPX executable packer,d634cde09d1aa1320a1d4c589d35d306f8350129faf225b2bca394128c2c4442,识别、宿主及可执行程序封装,UPX 可执行文件压缩/还原，处理程序映像。,不是安装包文件表；不做通用脱壳功能。,本地版本资源及 upx 说明
A,userdb.txt,1813,,,15cac46267af4776192a5fc6d2c742afde65a89810154571ab44f06b7b67c038,规则或配置数据,对应检测器、游戏/归档解释器、插件的配套数据,不算作新增格式,本地路径及配置
A,utagedec.exe,47262,,,e24414054fbda857f888adae8895563b71d484067bab333a1b292bc6e6a88148,游戏与多媒体资源,UTAGE 游戏资源。,不做。,A/def/utage.ini
A,uudeview.exe,134111,,,e829d5cfc000036388d7085c65fb8fb48fcd7308a30879745ab03556bcac2864,文档、邮件与数据转换,UU/XX/Base64 等编码内容解码。,不做独立文档格式；封装确有字段需要时局部实现。,A/def/uu.ini；本地作者说明
A,vis.key,1689,,,5aafd5d9851d66bd0c101a0e82208dc682bb26f1689a47c6f3ec6dd146aca6bb,规则或配置数据,对应检测器、游戏/归档解释器、插件的配套数据,不算作新增格式,本地路径及配置
A,VIS3Ext.exe,261120,2.2.6777.0 (vis3ext_restricted.180722-1857),Visionaire Engine 3/4 VIS extractor,82911ae63a53a41a37b3ded797f491f3a0fef470fbb9b0cb782069cf4f25e126,游戏与多媒体资源,Visionaire Engine 3/4 VIS 游戏资源；不是 Installer VISE。,不做。,本地 FileDescription；上游工具表
A,WUN.exe,49152,,,f6c607c841e218bbccb7721d37fef93f7d68f115bf9bef2e6a7b1f5ca599422c,安装包与封装,Wise Installer 静态载荷提取；E_WISE.INI 提供配套信息。,低优先级；遇到实际近期样本再排期。,本地 ewise / wun 作者说明
A,xor.exe,10752,,,d363eff713456c2249a9a7197cb0e2fd6b189a83ad7fb3a3d3386517b35a8ccc,识别、宿主及可执行程序封装,通用 XOR 字节变换辅助程序。,确有封装字段需要时在对应解析器内实现。,上游工具表；作者工具页
A,zlib1.dll,107520,1.2.8,zlib data compression library,42967a768f341d9ce5174eb38a4d63754c3c41739e7d88f4e39cd7354c1fac71,配套库,zlib data compression library,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,dark\dark.exe,28672,3.11.2.4516,WiX Toolset Decompiler,b1daca50e4fbd7a6911f4552243c454d0b078f66f3ce1ff7806e1b76d4dc6962,安装包与封装,WiX 反编译工具；可提取 Burn Bundle 中的附带容器和载荷，也能处理 MSI 反编译。,优先新增 Burn 静态解析；不需要生成 WiX 工程。,本地版本资源；UniExtract 源码 TYPE_WIX；WiX 官方文档
A,dark\winterop.dll,117760,3.11.2.4516,WiX Interop Library,27091dfb344097265cef8989035eea5a9b0c4746ff029b14fc421a87d1bfcd25,配套库,WiX Interop Library,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,dark\wix.dll,1753088,3.11.2.4516,Windows Installer XML,9717d47f5e1681f3e8bd3f193df6a8737d2104cecb80a5269bc4517911506db5,配套库,Windows Installer XML,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,file\bin\file.exe,45056,5.03.3414.16721,File: determine file type,e07a2c9c5199488b632bea07db82f58aec789329b116a4e84ee32b89f2db9617,识别、宿主及可执行程序封装,TrID 基于特征库判断文件类型；file/libmagic 使用 magic 规则。,做少量确定性探测，未知包保存诊断；不追求识别所有文件。,本地说明；A/def/registry.ini
A,file\bin\magic1.dll,150016,5.03.3414.16721,Magic: determine file type,33cc607f0f289cd9ed50ba2e0b1490554e363324adfbdec42e1ffa2d7d4e1c86,配套库,Magic: determine file type,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,file\bin\regex2.dll,79360,2.7.2853.21853,Libregex: searches for and matches text strings,3a71bf90e8bddfb813b44f9cbcecf431311a7979c1debc976767b3e5e59031af,配套库,Libregex: searches for and matches text strings,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,file\bin\zlib1.dll,72192,1.2.3.2532,Zlib1: general purpose data compression / decompression library,f184377a93bdd583506a17935acf1b5055f3f5b23701b8d78e2e39113a1f510c,配套库,Zlib1: general purpose data compression / decompression library,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,file\contrib\file\5.03\file-5.03-GnuWin32.README,2417,,,9bc5feb8b6af41c8895d73d1900aec61149eee867f380cf6ad27ee2ae739a1de,文档或配套数据,说明、配置、清单、源码压缩包或 SFX 配套资源,不算作独立解包工具,本地路径
